time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.535439,-0.0246,-0.0015,0.0353,0.043
4.549999,-0.0099,-0.0015,0.0497,0.051
4.575157,-0.0051,-0.0157,0.0353,0.039
4.590215,-0.0291,-0.0014,0.0305,0.042
4.612048,-0.0195,0.0082,0.0353,0.041
4.628943,-0.0193,-0.0062,0.0401,0.045
4.651992,-0.0287,-0.0111,0.0210,0.037
4.669017,-0.0238,0.0032,0.0210,0.032
4.692057,-0.0237,0.0080,0.0449,0.051
4.708456,-0.0239,-0.0065,0.0305,0.039
4.732861,-0.0048,-0.0018,0.0497,0.050
4.749180,-0.0094,-0.0065,0.0305,0.033
4.770658,-0.0189,-0.0017,0.0305,0.036
4.787602,-0.0142,-0.0016,0.0449,0.047
4.813005,-0.0093,-0.0111,0.0497,0.052
4.827958,-0.0140,-0.0108,0.0210,0.027
4.853177,-0.0236,-0.0013,0.0401,0.047
4.867612,-0.0091,-0.0011,0.0593,0.060
4.887184,0.0004,0.0040,0.0593,0.059
4.906501,-0.0234,-0.0053,0.0306,0.039
4.934345,-0.0231,0.0088,0.0210,0.032
4.947696,-0.0180,0.0136,0.0401,0.046
4.967921,-0.0179,-0.0104,0.0497,0.054
4.986953,-0.0130,-0.0057,0.0305,0.034
5.006370,-0.0272,-0.0010,0.0305,0.041
5.028103,-0.0127,0.0087,0.0305,0.034
5.047518,-0.0033,0.0181,0.0305,0.036
5.068276,-0.0033,0.0082,0.0305,0.032
5.086891,-0.0272,0.0081,0.0353,0.045
5.107780,-0.0271,0.0082,0.0449,0.053
5.126076,-0.0222,-0.0015,0.0353,0.042
5.145835,-0.0174,-0.0016,0.0401,0.044
5.166658,-0.0030,-0.0065,0.0545,0.055
5.186102,-0.0174,-0.0258,0.0305,0.044
5.206389,-0.0318,-0.0113,0.0497,0.060
5.225224,-0.0076,-0.0161,0.0257,0.031
5.244687,-0.0123,-0.0016,0.0353,0.037
5.263896,-0.0124,-0.0064,0.0305,0.034
5.283675,-0.0171,-0.0065,0.0401,0.044
5.303508,0.0019,-0.0114,0.0401,0.042
5.324807,-0.0030,-0.0018,0.0209,0.021
5.343691,-0.0270,-0.0018,0.0401,0.048
5.362152,-0.0318,-0.0018,0.0449,0.055
5.383566,-0.0079,0.0080,0.0545,0.056
5.401826,-0.0078,-0.0014,0.0353,0.036
5.423542,-0.0079,-0.0016,0.0353,0.036
5.441442,-0.0175,-0.0112,0.0353,0.041
5.462266,-0.0175,-0.0305,0.0545,0.065
5.485695,-0.0318,-0.0161,0.0497,0.061
